athlete_Sport,athlete_keyword,programs_Sport,programs_Discipline,Code,match_method
Hockey,hockey men's hockey,Field hockey,Field hockey,HOC,single_disc
Football,football men's football,Football,Football,FBL,single_disc
Wrestling,"wrestling men's light-flyweight, freestyle",Wrestling,Freestyle,WRF,keyword
Wrestling,"wrestling men's bantamweight, freestyle",Wrestling,Freestyle,WRF,keyword
Wrestling,"wrestling men's flyweight, freestyle",Wrestling,Freestyle,WRF,keyword
Wrestling,"wrestling men's welterweight, freestyle",Wrestling,Freestyle,WRF,keyword
Athletics,athletics men's 100 metres,Athletics,Athletics,ATH,single_disc
Taekwondo,taekwondo men's featherweight,Taekwondo,Taekwondo,TKW,single_disc
Taekwondo,taekwondo men's welterweight,Taekwondo,Taekwondo,TKW,single_disc
Judo,judo men's half-heavyweight,Judo,Judo,JUD,single_disc
Wrestling,"wrestling men's featherweight, freestyle",Wrestling,Freestyle,WRF,keyword
Wrestling,"wrestling men's lightweight, freestyle",Wrestling,Freestyle,WRF,keyword
Wrestling,"wrestling men's middleweight, freestyle",Wrestling,Freestyle,WRF,keyword
Wrestling,"wrestling men's lightweight, greco-roman",Wrestling,Greco-Roman,WRG,keyword
Wrestling,"wrestling men's featherweight, greco-roman",Wrestling,Greco-Roman,WRG,keyword
Boxing,boxing men's flyweight,Boxing,Boxing,BOX,single_disc
Judo,judo men's half-lightweight,Judo,Judo,JUD,single_disc
Athletics,athletics men's 4 x 100 metres relay,Athletics,Athletics,ATH,single_disc
Boxing,boxing men's lightweight,Boxing,Boxing,BOX,single_disc
Wrestling,"wrestling men's light-heavyweight, freestyle",Wrestling,Freestyle,WRF,keyword
Athletics,athletics men's long jump,Athletics,Athletics,ATH,single_disc
Athletics,athletics women's 100 metres,Athletics,Athletics,ATH,single_disc
Wrestling,"wrestling men's bantamweight, greco-roman",Wrestling,Greco-Roman,WRG,keyword
Boxing,boxing men's featherweight,Boxing,Boxing,BOX,single_disc
Boxing,boxing men's bantamweight,Boxing,Boxing,BOX,single_disc
Taekwondo,taekwondo men's flyweight,Taekwondo,Taekwondo,TKW,single_disc
Athletics,athletics men's shot put,Athletics,Athletics,ATH,single_disc
Judo,judo women's middleweight,Judo,Judo,JUD,single_disc
Athletics,athletics men's 400 metres,Athletics,Athletics,ATH,single_disc
Wrestling,"wrestling men's heavyweight, freestyle",Wrestling,Freestyle,WRF,keyword
Boxing,boxing men's welterweight,Boxing,Boxing,BOX,single_disc
Athletics,athletics men's 110 metres hurdles,Athletics,Athletics,ATH,single_disc
Athletics,athletics men's javelin throw,Athletics,Athletics,ATH,single_disc
Athletics,athletics men's marathon,Athletics,Athletics,ATH,single_disc
Athletics,athletics men's 200 metres,Athletics,Athletics,ATH,single_disc
Swimming,men's 50m freestyle,Aquatics,Swimming,SWM,sub_sport
Taekwondo,men +80kg,Taekwondo,Taekwondo,TKW,single_disc
Athletics,men's 100m,Athletics,Athletics,ATH,single_disc
Athletics,women's 100m,Athletics,Athletics,ATH,single_disc
Shooting,10m air rifle men,Shooting,Shooting,SHO,single_disc
Cycling Road,women's road race,Cycling,Road,CRD,sub_sport
Cycling Road,women's individual time trial,Cycling,Road,CRD,sub_sport
Judo,men -81 kg,Judo,Judo,JUD,single_disc
Weightlifting,weightlifting men's heavyweight,Weightlifting,Weightlifting,WLF,single_disc
Shooting,"shooting mixed small-bore rifle, prone, 50 metres",Shooting,Shooting,SHO,single_disc
Fencing,"fencing women's foil, individual",Fencing,Fencing,FEN,single_disc
Swimming,swimming women's 100 metres backstroke,Aquatics,Swimming,SWM,sub_sport
Sailing,sailing mixed windsurfer,Sailing,Sailing,SAL,single_disc
Fencing,"fencing men's sabre, individual",Fencing,Fencing,FEN,single_disc
Synchronized Swimming,synchronized swimming women's solo,Aquatics,Artistic Swimming,SWA,sub_sport
Synchronized Swimming,synchronized swimming women's duet,Aquatics,Artistic Swimming,SWA,sub_sport
Weightlifting,weightlifting men's bantamweight,Weightlifting,Weightlifting,WLF,single_disc
Shooting,shooting mixed trap,Shooting,Shooting,SHO,single_disc
Shooting,shooting men's trap,Shooting,Shooting,SHO,single_disc
Shooting,shooting men's double trap,Shooting,Shooting,SHO,single_disc
Swimming,swimming men's 50 metres freestyle,Aquatics,Swimming,SWM,sub_sport
Sailing,sailing women's windsurfer,Sailing,Sailing,SAL,single_disc
Sailing,sailing mixed one person dinghy,Sailing,Sailing,SAL,single_disc
Shooting,"shooting men's air pistol, 10 metres",Shooting,Shooting,SHO,single_disc
Judo,judo men's heavyweight,Judo,Judo,JUD,single_disc
Weightlifting,weightlifting men's middle-heavyweight,Weightlifting,Weightlifting,WLF,single_disc
Swimming,swimming men's 100 metres freestyle,Aquatics,Swimming,SWM,sub_sport
Athletics,athletics women's 800 metres,Athletics,Athletics,ATH,single_disc
Swimming,swimming men's 200 metres freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,swimming men's 400 metres freestyle,Aquatics,Swimming,SWM,sub_sport
Shooting,"shooting women's air rifle, 10 metres",Shooting,Shooting,SHO,single_disc
Athletics,athletics women's 200 metres,Athletics,Athletics,ATH,single_disc
Triathlon,triathlon men's olympic distance,Triathlon,Triathlon,TRI,single_disc
Weightlifting,weightlifting men's lightweight,Weightlifting,Weightlifting,WLF,single_disc
Weightlifting,weightlifting men's middleweight,Weightlifting,Weightlifting,WLF,single_disc
Judo,judo men's middleweight,Judo,Judo,JUD,single_disc
Weightlifting,weightlifting men's light-heavyweight,Weightlifting,Weightlifting,WLF,single_disc
Sailing,sailing men's windsurfer,Sailing,Sailing,SAL,single_disc
Equestrianism,"equestrianism mixed three-day event, individual",Equestrian,Eventing,EVE,keyword
Swimming,women's 100m breaststroke,Aquatics,Swimming,SWM,sub_sport
Swimming,women's 200m breaststroke,Aquatics,Swimming,SWM,sub_sport
Swimming,men's 100m breaststroke,Aquatics,Swimming,SWM,sub_sport
Swimming,women's 100m backstroke,Aquatics,Swimming,SWM,sub_sport
Swimming,women's 200m backstroke,Aquatics,Swimming,SWM,sub_sport
Rowing,men's single sculls,Rowing,Rowing,ROW,default
Wrestling,men's greco-roman 97kg,Wrestling,Greco-Roman,WRG,keyword
Weightlifting,women's 71kg,Weightlifting,Weightlifting,WLF,single_disc
Weightlifting,men's 102kg,Weightlifting,Weightlifting,WLF,single_disc
Wrestling,men's freestyle 74kg,Wrestling,Freestyle,WRF,keyword
Shooting,25m pistol women,Shooting,Shooting,SHO,single_disc
Taekwondo,men -58kg,Taekwondo,Taekwondo,TKW,single_disc
Trampoline Gymnastics,men,Gymnastics,Trampoline,GTR,sub_sport
Trampoline Gymnastics,women,Gymnastics,Trampoline,GTR,sub_sport
Canoe Sprint,men's kayak single 1000m,Canoeing,Sprint,CSP,sub_sport
Canoe Sprint,women's canoe single 200m,Canoeing,Sprint,CSP,sub_sport
Rowing,women's single sculls,Rowing,Rowing,ROW,default
Cycling Road,men's road race,Cycling,Road,CRD,sub_sport
Cycling Road,men's individual time trial,Cycling,Road,CRD,sub_sport
Canoe Sprint,men's canoe double 500m,Canoeing,Sprint,CSP,sub_sport
Canoe Sprint,men's canoe single 1000m,Canoeing,Sprint,CSP,sub_sport
Tennis,women's doubles,Tennis,Tennis,TEN,single_disc
Tennis,men's singles,Tennis,Tennis,TEN,single_disc
Tennis,men's doubles,Tennis,Tennis,TEN,single_disc
Tennis,women's singles,Tennis,Tennis,TEN,single_disc
Tennis,mixed doubles,Tennis,Tennis,TEN,single_disc
Shooting,50m rifle 3 positions women,Shooting,Shooting,SHO,single_disc
Weightlifting,weightlifting women's lightweight,Weightlifting,Weightlifting,WLF,single_disc
Athletics,athletics women's triple jump,Athletics,Athletics,ATH,single_disc
Swimming,swimming women's 100 metres butterfly,Aquatics,Swimming,SWM,sub_sport
Athletics,athletics men's hammer throw,Athletics,Athletics,ATH,single_disc
Weightlifting,weightlifting men's heavyweight ii,Weightlifting,Weightlifting,WLF,single_disc
Athletics,"athletics women's 3,000 metres steeplechase",Athletics,Athletics,ATH,single_disc
Wrestling,"wrestling men's heavyweight, greco-roman",Wrestling,Greco-Roman,WRG,keyword
Judo,judo women's half-lightweight,Judo,Judo,JUD,single_disc
Shooting,"shooting women's air pistol, 10 metres",Shooting,Shooting,SHO,single_disc
Shooting,"shooting women's sporting pistol, 25 metres",Shooting,Shooting,SHO,single_disc
Shooting,"shooting men's free pistol, 50 metres",Shooting,Shooting,SHO,single_disc
Swimming,swimming men's 100 metres breaststroke,Aquatics,Swimming,SWM,sub_sport
Athletics,athletics women's javelin throw,Athletics,Athletics,ATH,single_disc
Swimming,swimming women's 50 metres freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,swimming women's 100 metres freestyle,Aquatics,Swimming,SWM,sub_sport
Cycling,"cycling men's road race, individual",Cycling,Road,CRD,keyword
Weightlifting,weightlifting men's featherweight,Weightlifting,Weightlifting,WLF,single_disc
Shooting,"shooting mixed free pistol, 50 metres",Shooting,Shooting,SHO,single_disc
Athletics,athletics women's heptathlon,Athletics,Athletics,ATH,single_disc
Shooting,"shooting men's rapid-fire pistol, 25 metres",Shooting,Shooting,SHO,single_disc
Athletics,athletics women's 400 metres,Athletics,Athletics,ATH,single_disc
Athletics,athletics women's 400 metres hurdles,Athletics,Athletics,ATH,single_disc
Judo,judo men's half-middleweight,Judo,Judo,JUD,single_disc
Weightlifting,weightlifting women's featherweight,Weightlifting,Weightlifting,WLF,single_disc
Weightlifting,men's 73kg,Weightlifting,Weightlifting,WLF,single_disc
Judo,men -66 kg,Judo,Judo,JUD,single_disc
Shooting,10m air pistol women,Shooting,Shooting,SHO,single_disc
Athletics,women's 3000m steeplechase,Athletics,Athletics,ATH,single_disc
Swimming,men's 100m freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,women's 50m freestyle,Aquatics,Swimming,SWM,sub_sport
Artistic Gymnastics,men's pommel horse,Gymnastics,Artistic,GAR,sub_sport
Weightlifting,men's 81kg,Weightlifting,Weightlifting,WLF,single_disc
Athletics,men's long jump,Athletics,Athletics,ATH,single_disc
Wrestling,men's freestyle 57kg,Wrestling,Freestyle,WRF,keyword
Wrestling,men's freestyle 65kg,Wrestling,Freestyle,WRF,keyword
Swimming,women's 200m freestyle,Aquatics,Swimming,SWM,sub_sport
Boxing,boxing men's middleweight,Boxing,Boxing,BOX,single_disc
Athletics,"athletics men's 5,000 metres",Athletics,Athletics,ATH,single_disc
Athletics,athletics men's 800 metres,Athletics,Athletics,ATH,single_disc
Volleyball,volleyball women's volleyball,Volleyball,Indoor,VVO,default
Handball,handball men's handball,Handball,Indoor,HBL,default
Swimming,swimming men's 100 metres backstroke,Aquatics,Swimming,SWM,sub_sport
Swimming,swimming men's 100 metres butterfly,Aquatics,Swimming,SWM,sub_sport
Rowing,rowing men's single sculls,Rowing,Rowing,ROW,default
Athletics,"athletics men's 1,500 metres",Athletics,Athletics,ATH,single_disc
Rowing,rowing men's lightweight double sculls,Rowing,Rowing,ROW,default
Athletics,"athletics women's 5,000 metres",Athletics,Athletics,ATH,single_disc
Athletics,"athletics women's 10,000 metres",Athletics,Athletics,ATH,single_disc
Athletics,athletics women's marathon,Athletics,Athletics,ATH,single_disc
Boxing,boxing men's light-welterweight,Boxing,Boxing,BOX,single_disc
Athletics,athletics men's 20 kilometres walk,Athletics,Athletics,ATH,single_disc
Judo,judo women's heavyweight,Judo,Judo,JUD,single_disc
Boxing,boxing men's heavyweight,Boxing,Boxing,BOX,single_disc
Athletics,"athletics men's 3,000 metres steeplechase",Athletics,Athletics,ATH,single_disc
Athletics,athletics men's high jump,Athletics,Athletics,ATH,single_disc
Swimming,swimming men's 200 metres breaststroke,Aquatics,Swimming,SWM,sub_sport
Judo,judo men's lightweight,Judo,Judo,JUD,single_disc
Fencing,"fencing men's sabre, team",Fencing,Fencing,FEN,single_disc
Boxing,boxing men's light-heavyweight,Boxing,Boxing,BOX,single_disc
Volleyball,volleyball men's volleyball,Volleyball,Indoor,VVO,default
Swimming,swimming men's 200 metres individual medley,Aquatics,Swimming,SWM,sub_sport
Wrestling,"wrestling men's welterweight, greco-roman",Wrestling,Greco-Roman,WRG,keyword
Swimming,swimming men's 4 x 200 metres freestyle relay,Aquatics,Swimming,SWM,sub_sport
Fencing,"fencing women's epee, individual",Fencing,Fencing,FEN,single_disc
Weightlifting,weightlifting men's super-heavyweight,Weightlifting,Weightlifting,WLF,single_disc
Shooting,"shooting men's air rifle, 10 metres",Shooting,Shooting,SHO,single_disc
Table Tennis,table tennis women's singles,Table Tennis,Table Tennis,TTE,single_disc
Tennis,tennis women's singles,Tennis,Tennis,TEN,single_disc
Table Tennis,table tennis men's singles,Table Tennis,Table Tennis,TTE,single_disc
