Name,NOC,Year,Event,dropped_medal,kept_medal,reason
Pierre Gervais,FRA,1900,Sailing Mixed 0-0.5 Ton,Gold,Bronze,G_ath=50 vs G_off=27 S_ath=93 vs S_off=39 B_ath=82 vs B_off=37
A. Dubois,FRA,1900,Sailing Mixed 3-10 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=93 vs S_off=39 B_ath=82 vs B_off=37
Albert Duval,FRA,1900,Sailing Mixed 1-2 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=92 vs S_off=39 B_ath=82 vs B_off=37
Auguste Albert,FRA,1900,Sailing Mixed 1-2 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=91 vs S_off=39 B_ath=82 vs B_off=37
Camille Michelet,FRA,1900,Sailing Mixed 0.5-1 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=90 vs S_off=39 B_ath=82 vs B_off=37
Charles Guiraist,FRA,1900,Sailing Mixed 3-10 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=89 vs S_off=39 B_ath=82 vs B_off=37
Charles Hugo,FRA,1900,Sailing Mixed 1-2 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=88 vs S_off=39 B_ath=82 vs B_off=37
Charles Martin,FRA,1900,Sailing Mixed 0.5-1 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=87 vs S_off=39 B_ath=82 vs B_off=37
Flix Marcotte,FRA,1900,Sailing Mixed 0.5-1 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=86 vs S_off=39 B_ath=82 vs B_off=37
Franois (caubet-),FRA,1900,Sailing Mixed 1-2 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=85 vs S_off=39 B_ath=82 vs B_off=37
Gabriel Bret,FRA,1900,Sailing Mixed 0.5-1 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=84 vs S_off=39 B_ath=82 vs B_off=37
Henri Gufflet,FRA,1900,Sailing Mixed 3-10 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=83 vs S_off=39 B_ath=82 vs B_off=37
Henri Valton,FRA,1900,Sailing Mixed 0.5-1 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=82 vs S_off=39 B_ath=82 vs B_off=37
J. Dubois,FRA,1900,Sailing Mixed 3-10 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=81 vs S_off=39 B_ath=82 vs B_off=37
Jacques Baudrier,FRA,1900,Sailing Mixed 0.5-1 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=80 vs S_off=39 B_ath=82 vs B_off=37
Marcel Meran,FRA,1900,Sailing Mixed 0.5-1 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=79 vs S_off=39 B_ath=82 vs B_off=37
Robert Gufflet,FRA,1900,Sailing Mixed 3-10 Ton,Silver,Bronze,G_ath=49 vs G_off=27 S_ath=78 vs S_off=39 B_ath=82 vs B_off=37
A. Dubois,FRA,1900,Sailing Mixed 3-10 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=82 vs B_off=37
Albert Duval,FRA,1900,Sailing Mixed 1-2 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=81 vs B_off=37
Auguste Albert,FRA,1900,Sailing Mixed 1-2 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=80 vs B_off=37
Camille Michelet,FRA,1900,Sailing Mixed 0.5-1 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=79 vs B_off=37
Charles Guiraist,FRA,1900,Sailing Mixed 3-10 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=78 vs B_off=37
Charles Hugo,FRA,1900,Sailing Mixed 1-2 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=77 vs B_off=37
Charles Martin,FRA,1900,Sailing Mixed 0.5-1 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=76 vs B_off=37
Flix Marcotte,FRA,1900,Sailing Mixed 0.5-1 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=75 vs B_off=37
Franois (caubet-),FRA,1900,Sailing Mixed 1-2 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=74 vs B_off=37
Gabriel Bret,FRA,1900,Sailing Mixed 0.5-1 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=73 vs B_off=37
Henri Gufflet,FRA,1900,Sailing Mixed 3-10 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=72 vs B_off=37
Henri Valton,FRA,1900,Sailing Mixed 0.5-1 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=71 vs B_off=37
J. Dubois,FRA,1900,Sailing Mixed 3-10 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=70 vs B_off=37
Jacques Baudrier,FRA,1900,Sailing Mixed 0.5-1 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=69 vs B_off=37
