Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Auguste Albert,M,Martha-1,FRA,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
Auguste Albert,M,Martha-1,FRA,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
Jacques Baudrier,M,Crabe II-1,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
Jacques Baudrier,M,Crabe II-4,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
A. Dubois,M,Gitana-2,FRA,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
A. Dubois,M,Gitana-2,FRA,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
J. Dubois,M,Gitana-2,FRA,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
J. Dubois,M,Gitana-2,FRA,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
Albert Duval,M,Martha-1,FRA,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
Albert Duval,M,Martha-1,FRA,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
Pierre Gervais,M,Baby-1,FRA,1900,Paris,Sailing,Sailing Mixed 0-0.5 Ton,Gold
Pierre Gervais,M,Baby-1,FRA,1900,Paris,Sailing,Sailing Mixed 0-0.5 Ton,Bronze
Henri Gufflet,M,Gitana-2,FRA,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
Henri Gufflet,M,Gitana-2,FRA,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
Robert Gufflet,M,Gitana-2,FRA,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
Robert Gufflet,M,Gitana-2,FRA,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
Charles Guiraist,M,Gitana-2,FRA,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Bronze
Charles Guiraist,M,Gitana-2,FRA,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
Charles Hugo,M,Martha-1,FRA,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
Charles Hugo,M,Martha-1,FRA,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
Gabriel Bret,M,Crabe II-1,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
Gabriel Bret,M,Crocodile-11,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,No medal
Gabriel Bret,M,Crabe II-4,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
Gabriel Bret,M,Crocodile-11,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,No medal
Flix Marcotte,M,Crabe II-1,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
Flix Marcotte,M,Crabe II-4,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
Charles Martin,M,Crabe II-1,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
Charles Martin,M,Crabe II-4,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
Marcel Meran,M,Scamasaxe-2,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
Marcel Meran,M,Scamasaxe-3,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
Camille Michelet,M,Scamasaxe-2,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
Camille Michelet,M,Scamasaxe-3,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
Henri Valton,M,Crabe II-1,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Silver
Henri Valton,M,Crabe II-4,FRA,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
Franois (caubet-),M,Martha-1,FRA,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
Franois (caubet-),M,Martha-1,FRA,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
Bernard Pourtals,M,Lerina,SUI,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Gold
Bernard Pourtals,M,Lerina,SUI,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
Hlne (barbey-),F,Lerina,SUI,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Gold
Hlne (barbey-),F,Lerina,SUI,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
Hermann Pourtals,M,Lerina,SUI,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Gold
Hermann Pourtals,M,Lerina,SUI,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
Alex Diggelmann,M,Switzerland,SUI,1948,London,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",Silver
Alex Diggelmann,M,Switzerland,SUI,1948,London,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",Bronze
Alex Diggelmann,M,Switzerland,SUI,1948,London,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",No medal
Alex Diggelmann,M,Switzerland,SUI,1948,London,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",No medal
Alex Diggelmann,M,Switzerland,SUI,1948,London,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",No medal
