NOC_display,Year,ath_Gold,ath_Silver,ath_Bronze,ath_Total,off_Gold,off_Silver,off_Bronze,off_Total,diff_Gold,diff_Silver,diff_Bronze,note
Greece,1896,10,17,17,44,10,18,19,47,0.0,-1.0,-2.0,
United States,1896,11,6,2,19,11,7,2,20,0.0,-1.0,0.0,
Germany,1896,7,5,2,14,6,5,2,13,1.0,0.0,0.0,
Great Britain,1896,3,3,3,9,2,3,2,7,1.0,0.0,1.0,
Australia,1896,2,0,1,3,2,0,0,2,0.0,0.0,1.0,
France,1900,28,40,32,100,27,39,37,103,1.0,1.0,-5.0,
United States,1900,21,16,17,54,19,14,15,48,2.0,2.0,2.0,
Great Britain,1900,19,11,12,42,15,7,9,31,4.0,4.0,3.0,
Belgium,1900,6,7,5,18,6,7,4,17,0.0,0.0,1.0,
Switzerland,1900,6,1,1,8,6,2,1,9,0.0,-1.0,0.0,
Germany,1900,4,3,1,8,4,3,2,9,0.0,0.0,-1.0,
Denmark,1900,2,3,2,7,1,3,2,6,1.0,0.0,0.0,
Netherlands,1900,1,2,4,7,0,2,3,5,1.0,0.0,1.0,
Australia,1900,3,0,3,6,2,0,3,5,1.0,0.0,0.0,
Bohemia,1900,0,1,2,3,0,1,1,2,0.0,0.0,1.0,
Sweden,1900,1,0,1,2,0,0,1,1,1.0,0.0,0.0,
,1900,1,0,0,1,0,0,0,0,,,,NOT IN ORIGINAL
,1900,1,0,0,1,0,0,0,0,,,,NOT IN ORIGINAL
,1900,0,1,0,1,0,0,0,0,,,,NOT IN ORIGINAL
,1900,0,0,1,1,0,0,0,0,,,,NOT IN ORIGINAL
United States,1904,76,79,75,230,76,78,77,231,0.0,1.0,-2.0,
Germany,1904,4,5,7,16,4,5,6,15,0.0,0.0,1.0,
Cuba,1904,4,0,0,4,3,0,0,3,1.0,0.0,0.0,
Austria,1904,2,1,1,4,1,1,1,3,1.0,0.0,0.0,
France,1904,0,2,0,2,0,1,0,1,0.0,1.0,0.0,
