athlete_Sport,programs_Sport,Code,match_method
Art Competitions,,,excluded
Figure Skating,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Ice Hockey,,,excluded
Art Competitions,,,excluded
Figure Skating,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Art Competitions,,,excluded
Motorboating,,,excluded
Figure Skating,,,excluded
Motorboating,,,excluded
Motorboating,,,excluded
Art Competitions,,,excluded
Figure Skating,,,excluded
Alpinism,,,excluded
Aeronautics,,,excluded
