Year,City,Country,NOC,canonical_name,is_cancelled,is_future
1896,Athens,Greece,GRE,Greece,0,0
1900,Paris,France,FRA,France,0,0
1904,St. Louis,United States,USA,United States,0,0
1908,London,United Kingdom,GBR,Great Britain,0,0
1912,Stockholm,Sweden,SWE,Sweden,0,0
1916,Cancelled,,CANCELLED,CANCELLED,1,0
1920,Antwerp,Belgium,BEL,Belgium,0,0
1924,Paris,France,FRA,France,0,0
1928,Amsterdam,Netherlands,NED,Netherlands,0,0
1932,Los Angeles,United States,USA,United States,0,0
1936,Berlin,Germany,GER,Germany,0,0
1940,Cancelled,,CANCELLED,CANCELLED,1,0
1944,Cancelled,,CANCELLED,CANCELLED,1,0
1948,London,United Kingdom,GBR,Great Britain,0,0
1952,Helsinki,Finland,FIN,Finland,0,0
1956,Melbourne,Australia,AUS,Australia,0,0
1960,Rome,Italy,ITA,Italy,0,0
1964,Tokyo,Japan,JPN,Japan,0,0
1968,Mexico City,Mexico,MEX,Mexico,0,0
1972,Munich,West Germany,FRG,West Germany,0,0
1976,Montreal,Canada,CAN,Canada,0,0
1980,Moscow,Soviet Union,URS,Soviet Union,0,0
1984,Los Angeles,United States,USA,United States,0,0
1988,Seoul,South Korea,KOR,South Korea,0,0
1992,Barcelona,Spain,ESP,Spain,0,0
1996,Atlanta,United States,USA,United States,0,0
2000,Sydney,Australia,AUS,Australia,0,0
2004,Athens,Greece,GRE,Greece,0,0
2008,Beijing,China,CHN,China,0,0
2012,London,United Kingdom,GBR,Great Britain,0,0
2016,Rio de Janeiro,Brazil,BRA,Brazil,0,0
2020,Tokyo,Japan,JPN,Japan,0,0
2024,Paris,France,FRA,France,0,0
2028,Los Angeles,United States,USA,United States,0,1
2032,Brisbane,Australia,AUS,Australia,0,1
