athlete_NOC,NOC_for_join,NOC_clean,Year,Gold_ath,Silver_ath,Bronze_ath,Total_ath,Gold_off,Silver_off,Bronze_off,Total_off,Rank,diff_Gold,diff_Silver,diff_Bronze,diff_Total,abs_diff_sum,match_status
AUS,Australia,Australia,1896,1,2,0,3,2,0,0,2,8,-1,2,0,1,3,DIFFER
AUT,Austria,Austria,1896,2,2,1,5,2,1,2,5,7,0,1,-1,0,2,DIFFER
DEN,Denmark,Denmark,1896,3,1,2,6,1,2,3,6,9,2,-1,-1,0,4,DIFFER
FRA,France,France,1896,2,5,4,11,5,4,2,11,4,-3,1,2,0,6,DIFFER
GBR,Great Britain,Great Britain,1896,3,3,3,9,2,3,2,7,5,1,0,1,2,2,DIFFER
GER,Germany,Germany,1896,2,7,5,14,6,5,2,13,3,-4,2,3,1,9,DIFFER
GRE,Greece,Greece,1896,17,10,17,44,10,18,19,47,2,7,-8,-2,-3,17,DIFFER
HUN,Hungary,Hungary,1896,3,2,1,6,2,1,3,6,6,1,1,-2,0,4,DIFFER
ITA,ITA,,1896,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUI,Switzerland,Switzerland,1896,0,1,2,3,1,2,0,3,10,-1,-1,2,0,4,DIFFER
SWE,SWE,,1896,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
USA,United States,United States,1896,2,11,6,19,11,7,2,20,1,-9,4,4,-1,17,DIFFER
,,Mixed team,1896,0,0,0,0,1,0,1,2,11,-1,0,-1,-2,2,ONLY_IN_OFFICIAL
ARG,ARG,,1900,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AUS,Australia,Australia,1900,3,3,0,6,2,0,3,5,9,1,3,-3,1,7,DIFFER
AUT,Austria,Austria,1900,3,0,3,6,0,3,3,6,16,3,-3,0,0,6,DIFFER
BEL,Belgium,Belgium,1900,5,6,7,18,6,7,4,17,5,-1,-1,3,1,5,DIFFER
BOH,Bohemia,Bohemia,1900,2,0,1,3,0,1,1,2,20,2,-1,0,1,3,DIFFER
BRA,BRA,,1900,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,1900,1,1,0,2,1,0,1,2,13,0,1,-1,0,2,DIFFER
COL,COL,,1900,0,0,1,1,0,0,0,0,,0,0,1,1,1,ONLY_IN_ATHLETES
CUB,Cuba,Cuba,1900,0,1,1,2,1,1,0,2,12,-1,0,1,0,2,DIFFER
DEN,Denmark,Denmark,1900,2,2,3,7,1,3,2,6,10,1,-1,1,1,3,DIFFER
ESP,Spain,Spain,1900,0,1,0,1,1,0,0,1,14,-1,1,0,0,2,DIFFER
FRA,France,France,1900,32,28,40,100,27,39,37,103,1,5,-11,3,-3,19,DIFFER
GBR,Great Britain,Great Britain,1900,12,19,11,42,15,7,9,31,3,-3,12,2,11,17,DIFFER
GER,Germany,Germany,1900,1,4,3,8,4,3,2,9,7,-3,1,1,-1,5,DIFFER
GRE,GRE,,1900,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HAI,HAI,,1900,0,1,0,1,0,0,0,0,,0,1,0,1,1,ONLY_IN_ATHLETES
HUN,Hungary,Hungary,1900,2,1,2,5,1,2,2,5,11,1,-1,0,0,2,DIFFER
IND,India,India,1900,0,0,2,2,0,2,0,2,19,0,-2,2,0,4,DIFFER
IRI,IRI,,1900,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1900,0,3,2,5,3,2,0,5,8,-3,1,2,0,6,DIFFER
LUX,Luxembourg,Luxembourg,1900,0,1,0,1,1,0,0,1,14,-1,1,0,0,2,DIFFER
MEX,MEX,,1900,1,0,0,1,0,0,0,0,,1,0,0,1,1,ONLY_IN_ATHLETES
NED,Netherlands,Netherlands,1900,4,1,2,7,0,2,3,5,17,4,-1,-1,2,6,DIFFER
NOR,Norway,Norway,1900,3,0,2,5,0,2,3,5,17,3,-2,-1,0,6,DIFFER
NZL,NZL,,1900,0,1,0,1,0,0,0,0,,0,1,0,1,1,ONLY_IN_ATHLETES
PER,PER,,1900,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ROU,ROU,,1900,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
RUS,Russian Empire,,1900,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUI,Switzerland,Switzerland,1900,1,6,1,8,6,2,1,9,6,-5,4,0,-1,9,DIFFER
SWE,Sweden,Sweden,1900,1,1,0,2,0,0,1,1,21,1,1,-1,1,3,DIFFER
USA,United States,United States,1900,17,21,16,54,19,14,15,48,2,-2,7,1,6,10,DIFFER
,,Mixed team,1900,0,0,0,0,8,5,6,19,4,-8,-5,-6,-19,19,ONLY_IN_OFFICIAL
AUS,Australia,Australia,1904,1,0,3,4,0,3,1,4,12,1,-3,2,0,6,DIFFER
AUT,Austria,Austria,1904,1,2,1,4,1,1,1,3,8,0,1,0,1,1,DIFFER
CAN,Canada,Canada,1904,1,4,1,6,4,1,1,6,3,-3,3,0,0,6,DIFFER
CUB,Cuba,Cuba,1904,0,4,0,4,3,0,0,3,4,-3,4,0,1,7,DIFFER
FRA,France,France,1904,0,0,2,2,0,1,0,1,13,0,-1,2,1,3,DIFFER
GBR,Great Britain,Great Britain,1904,0,1,1,2,1,1,0,2,9,-1,0,1,0,2,DIFFER
GER,Germany,Germany,1904,7,4,5,16,4,5,6,15,2,3,-1,-1,1,5,DIFFER
GRE,Greece,Greece,1904,1,1,0,2,1,0,1,2,11,0,1,-1,0,2,DIFFER
HUN,Hungary,Hungary,1904,1,2,1,4,2,1,1,4,5,-1,1,0,0,2,DIFFER
ITA,ITA,,1904,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NFL,NFL,,1904,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NOR,Norway,Norway,1904,0,2,0,2,2,0,0,2,7,-2,2,0,0,4,DIFFER
RSA,RSA,,1904,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUI,Switzerland,Switzerland,1904,2,1,0,3,1,0,2,3,10,1,1,-2,0,4,DIFFER
USA,United States,United States,1904,75,76,79,230,76,78,77,231,1,-1,-2,2,-1,5,DIFFER
,,Mixed team,1904,0,0,0,0,2,1,1,4,5,-2,-1,-1,-4,4,ONLY_IN_OFFICIAL
AUS,AUS,,1906,3,0,0,3,0,0,0,0,,3,0,0,3,3,ONLY_IN_ATHLETES
AUT,AUT,,1906,3,3,3,9,0,0,0,0,,3,3,3,9,9,ONLY_IN_ATHLETES
BEL,BEL,,1906,3,2,2,7,0,0,0,0,,3,2,2,7,7,ONLY_IN_ATHLETES
BOH,BOH,,1906,2,0,0,2,0,0,0,0,,2,0,0,2,2,ONLY_IN_ATHLETES
CAN,CAN,,1906,0,1,1,2,0,0,0,0,,0,1,1,2,2,ONLY_IN_ATHLETES
CRT,CRT,,1906,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DEN,DEN,,1906,1,3,2,6,0,0,0,0,,1,3,2,6,6,ONLY_IN_ATHLETES
EGY,EGY,,1906,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
FIN,FIN,,1906,1,2,1,4,0,0,0,0,,1,2,1,4,4,ONLY_IN_ATHLETES
FRA,FRA,,1906,16,15,10,41,0,0,0,0,,16,15,10,41,41,ONLY_IN_ATHLETES
GBR,GBR,,1906,5,8,12,25,0,0,0,0,,5,8,12,25,25,ONLY_IN_ATHLETES
GER,GER,,1906,4,4,6,14,0,0,0,0,,4,4,6,14,14,ONLY_IN_ATHLETES
GRE,GRE,,1906,13,8,14,35,0,0,0,0,,13,8,14,35,35,ONLY_IN_ATHLETES
HUN,HUN,,1906,3,2,5,10,0,0,0,0,,3,2,5,10,10,ONLY_IN_ATHLETES
ITA,ITA,,1906,3,7,6,16,0,0,0,0,,3,7,6,16,16,ONLY_IN_ATHLETES
NED,NED,,1906,2,0,1,3,0,0,0,0,,2,0,1,3,3,ONLY_IN_ATHLETES
NOR,NOR,,1906,0,1,1,2,0,0,0,0,,0,1,1,2,2,ONLY_IN_ATHLETES
SUI,SUI,,1906,1,4,3,8,0,0,0,0,,1,4,3,8,8,ONLY_IN_ATHLETES
SWE,SWE,,1906,7,2,5,14,0,0,0,0,,7,2,5,14,14,ONLY_IN_ATHLETES
