Sport,Discipline,Code,Year,EventCount,is_demo,status_code
Aquatics,Artistic Swimming,SWA,1896,0,0,official
Aquatics,Artistic Swimming,SWA,1900,0,0,official
Aquatics,Artistic Swimming,SWA,1904,0,0,official
Aquatics,Artistic Swimming,SWA,1908,0,0,official
Aquatics,Artistic Swimming,SWA,1912,0,0,official
Aquatics,Artistic Swimming,SWA,1920,0,0,official
Aquatics,Artistic Swimming,SWA,1924,0,0,official
Aquatics,Artistic Swimming,SWA,1928,0,0,official
Aquatics,Artistic Swimming,SWA,1932,0,0,official
Aquatics,Artistic Swimming,SWA,1936,0,0,official
Aquatics,Artistic Swimming,SWA,1948,0,0,official
Aquatics,Artistic Swimming,SWA,1952,0,0,official
Aquatics,Artistic Swimming,SWA,1956,0,0,official
Aquatics,Artistic Swimming,SWA,1960,0,0,official
Aquatics,Artistic Swimming,SWA,1964,0,0,official
Aquatics,Artistic Swimming,SWA,1968,0,0,official
Aquatics,Artistic Swimming,SWA,1972,0,0,official
Aquatics,Artistic Swimming,SWA,1976,0,0,official
Aquatics,Artistic Swimming,SWA,1980,0,0,official
Aquatics,Artistic Swimming,SWA,1984,2,0,official
Aquatics,Artistic Swimming,SWA,1988,2,0,official
Aquatics,Artistic Swimming,SWA,1992,2,0,official
Aquatics,Artistic Swimming,SWA,1996,1,0,official
Aquatics,Artistic Swimming,SWA,2000,2,0,official
Aquatics,Artistic Swimming,SWA,2004,2,0,official
Aquatics,Artistic Swimming,SWA,2008,2,0,official
Aquatics,Artistic Swimming,SWA,2012,2,0,official
Aquatics,Artistic Swimming,SWA,2016,2,0,official
Aquatics,Artistic Swimming,SWA,2020,2,0,official
Aquatics,Artistic Swimming,SWA,2024,2,0,official
Aquatics,Diving,DIV,1896,0,0,official
Aquatics,Diving,DIV,1900,0,0,official
Aquatics,Diving,DIV,1904,2,0,official
Aquatics,Diving,DIV,1908,2,0,official
Aquatics,Diving,DIV,1912,4,0,official
Aquatics,Diving,DIV,1920,5,0,official
Aquatics,Diving,DIV,1924,5,0,official
Aquatics,Diving,DIV,1928,4,0,official
Aquatics,Diving,DIV,1932,4,0,official
Aquatics,Diving,DIV,1936,4,0,official
Aquatics,Diving,DIV,1948,4,0,official
Aquatics,Diving,DIV,1952,4,0,official
Aquatics,Diving,DIV,1956,4,0,official
Aquatics,Diving,DIV,1960,4,0,official
Aquatics,Diving,DIV,1964,4,0,official
Aquatics,Diving,DIV,1968,4,0,official
Aquatics,Diving,DIV,1972,4,0,official
Aquatics,Diving,DIV,1976,4,0,official
Aquatics,Diving,DIV,1980,4,0,official
Aquatics,Diving,DIV,1984,4,0,official
Aquatics,Diving,DIV,1988,4,0,official
Aquatics,Diving,DIV,1992,4,0,official
Aquatics,Diving,DIV,1996,4,0,official
Aquatics,Diving,DIV,2000,8,0,official
Aquatics,Diving,DIV,2004,8,0,official
Aquatics,Diving,DIV,2008,8,0,official
Aquatics,Diving,DIV,2012,8,0,official
Aquatics,Diving,DIV,2016,8,0,official
Aquatics,Diving,DIV,2020,8,0,official
Aquatics,Diving,DIV,2024,8,0,official
Aquatics,Marathon Swimming,OWS,1896,0,0,official
Aquatics,Marathon Swimming,OWS,1900,0,0,official
Aquatics,Marathon Swimming,OWS,1904,0,0,official
Aquatics,Marathon Swimming,OWS,1908,0,0,official
Aquatics,Marathon Swimming,OWS,1912,0,0,official
Aquatics,Marathon Swimming,OWS,1920,0,0,official
Aquatics,Marathon Swimming,OWS,1924,0,0,official
Aquatics,Marathon Swimming,OWS,1928,0,0,official
Aquatics,Marathon Swimming,OWS,1932,0,0,official
Aquatics,Marathon Swimming,OWS,1936,0,0,official
Aquatics,Marathon Swimming,OWS,1948,0,0,official
Aquatics,Marathon Swimming,OWS,1952,0,0,official
Aquatics,Marathon Swimming,OWS,1956,0,0,official
Aquatics,Marathon Swimming,OWS,1960,0,0,official
Aquatics,Marathon Swimming,OWS,1964,0,0,official
Aquatics,Marathon Swimming,OWS,1968,0,0,official
Aquatics,Marathon Swimming,OWS,1972,0,0,official
Aquatics,Marathon Swimming,OWS,1976,0,0,official
Aquatics,Marathon Swimming,OWS,1980,0,0,official
Aquatics,Marathon Swimming,OWS,1984,0,0,official
Aquatics,Marathon Swimming,OWS,1988,0,0,official
Aquatics,Marathon Swimming,OWS,1992,0,0,official
Aquatics,Marathon Swimming,OWS,1996,0,0,official
Aquatics,Marathon Swimming,OWS,2000,0,0,official
Aquatics,Marathon Swimming,OWS,2004,0,0,official
Aquatics,Marathon Swimming,OWS,2008,2,0,official
Aquatics,Marathon Swimming,OWS,2012,2,0,official
Aquatics,Marathon Swimming,OWS,2016,2,0,official
Aquatics,Marathon Swimming,OWS,2020,2,0,official
Aquatics,Marathon Swimming,OWS,2024,2,0,official
Aquatics,Swimming,SWM,1896,4,0,official
Aquatics,Swimming,SWM,1900,7,0,official
Aquatics,Swimming,SWM,1904,9,0,official
Aquatics,Swimming,SWM,1908,6,0,official
Aquatics,Swimming,SWM,1912,9,0,official
Aquatics,Swimming,SWM,1920,10,0,official
Aquatics,Swimming,SWM,1924,11,0,official
Aquatics,Swimming,SWM,1928,11,0,official
Aquatics,Swimming,SWM,1932,11,0,official
Aquatics,Swimming,SWM,1936,11,0,official
Aquatics,Swimming,SWM,1948,11,0,official
