canonical_name,Discipline,Code,Year,score_current,score_lag1,score_lag2,T_score,n_years_used
Afghanistan,Athletics,ATH,1936,0.0,,,0.0,1
Afghanistan,Athletics,ATH,1960,0.0,,,0.0,1
Afghanistan,Athletics,ATH,1996,0.0,,,0.0,1
Afghanistan,Athletics,ATH,2004,0.0,,0.0,0.0,2
Afghanistan,Athletics,ATH,2008,0.0,0.0,,0.0,2
Afghanistan,Athletics,ATH,2012,0.0,0.0,0.0,0.0,3
Afghanistan,Athletics,ATH,2016,0.0,0.0,0.0,0.0,3
Afghanistan,Athletics,ATH,2020,0.0,0.0,0.0,0.0,3
Afghanistan,Athletics,ATH,2024,0.0,0.0,0.0,0.0,3
Afghanistan,Boxing,BOX,1980,0.0,,,0.0,1
Afghanistan,Boxing,BOX,2004,0.0,,,0.0,1
Afghanistan,Boxing,BOX,2012,0.0,,0.0,0.0,2
Afghanistan,Road,CRD,2024,0.0,,,0.0,1
Afghanistan,Football,FBL,1948,0.0,,,0.0,1
Afghanistan,Field hockey,HOC,1936,0.0,,,0.0,1
Afghanistan,Field hockey,HOC,1948,0.0,0.0,,0.0,2
Afghanistan,Field hockey,HOC,1956,0.0,,0.0,0.0,2
Afghanistan,Judo,JUD,2004,0.0,,,0.0,1
Afghanistan,Judo,JUD,2012,0.0,,0.0,0.0,2
Afghanistan,Judo,JUD,2016,0.0,0.0,,0.0,2
Afghanistan,Judo,JUD,2024,0.0,,0.0,0.0,2
Afghanistan,Shooting,SHO,2020,0.0,,,0.0,1
Afghanistan,Swimming,SWM,2020,0.0,,,0.0,1
Afghanistan,Swimming,SWM,2024,0.0,0.0,,0.0,2
Afghanistan,Taekwondo,TKW,2008,0.025,,,0.025,1
Afghanistan,Taekwondo,TKW,2012,0.025,0.025,,0.025,2
Afghanistan,Taekwondo,TKW,2020,0.0,,0.025,0.008333,2
Afghanistan,Freestyle,WRF,1960,0.0,,,0.0,1
Afghanistan,Freestyle,WRF,1964,0.0,0.0,,0.0,2
Afghanistan,Freestyle,WRF,1968,0.0,0.0,0.0,0.0,3
Afghanistan,Freestyle,WRF,1972,0.0,0.0,0.0,0.0,3
Afghanistan,Freestyle,WRF,1980,0.0,,0.0,0.0,2
Afghanistan,Freestyle,WRF,1988,0.0,,0.0,0.0,2
Afghanistan,Freestyle,WRF,2004,0.0,,,0.0,1
Afghanistan,Greco-Roman,WRG,1964,0.0,,,0.0,1
Afghanistan,Greco-Roman,WRG,1972,0.0,,0.0,0.0,2
Afghanistan,Greco-Roman,WRG,1980,0.0,,0.0,0.0,2
Albania,Athletics,ATH,1992,0.0,,,0.0,1
